,pcfg_jed,pcfg_odz,pcfg_prec,pcfg_f1,pcfg_isti,cnn_jed,cnn_odz,cnn_prec,cnn_f1,cnn_isti
tdbD00004637,0.8133333333333334,0.8095238095238095,0.7727272727272727,0.7906976744186046,False,1.0,1.0,1.0,1.0,True
tdbD00004652,0.9733333333333334,0.9523809523809523,1.0,0.975609756097561,False,1.0,1.0,1.0,1.0,True
tdbD00004669,0.6753246753246753,0.5909090909090909,0.6842105263157895,0.6341463414634148,False,1.0,1.0,1.0,1.0,True
tdbD00004673,0.5866666666666667,0.5714285714285714,0.5,0.5333333333333333,False,1.0,1.0,1.0,1.0,True
tdbD00004674,0.5733333333333334,0.5238095238095238,0.4782608695652174,0.5,False,1.0,1.0,1.0,1.0,True
tdbD00004679,0.7012987012987013,0.5909090909090909,0.6190476190476191,0.6046511627906977,False,1.0,1.0,1.0,1.0,True
tdbD00004683,0.7948717948717948,0.8181818181818182,0.782608695652174,0.8,False,1.0,1.0,1.0,1.0,True
tdbD00004687,0.7066666666666667,0.5714285714285714,0.6,0.5853658536585366,False,1.0,1.0,1.0,1.0,True
tdbD00004693,0.6056338028169014,0.2631578947368421,0.3333333333333333,0.29411764705882354,False,1.0,1.0,1.0,1.0,True
tdbD00004709,0.971830985915493,0.9523809523809523,1.0,0.975609756097561,False,1.0,1.0,1.0,1.0,True
tdbD00004711,0.971830985915493,0.9523809523809523,1.0,0.975609756097561,False,1.0,1.0,1.0,1.0,True
tdbD00004728,0.974025974025974,0.9523809523809523,1.0,0.975609756097561,False,1.0,1.0,1.0,1.0,True
tdbD00004734,0.9733333333333334,0.9523809523809523,1.0,0.975609756097561,False,1.0,1.0,1.0,1.0,True
tdbD00004761,0.9733333333333334,0.9523809523809523,1.0,0.975609756097561,False,1.0,1.0,1.0,1.0,True
tdbD00004763,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00004767,0.9736842105263158,0.9545454545454546,1.0,0.9767441860465117,False,1.0,1.0,1.0,1.0,True
tdbD00004771,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00004781,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00004789,0.7605633802816901,0.4444444444444444,0.4444444444444444,0.4444444444444444,False,0.8873239436619719,0.7777777777777778,1.0,0.8750000000000001,False
tdbD00004794,0.8648648648648649,0.8181818181818182,0.8181818181818182,0.8181818181818182,False,1.0,1.0,1.0,1.0,True
tdbD00004802,0.9736842105263158,0.9545454545454546,1.0,0.9767441860465117,False,1.0,1.0,1.0,1.0,True
tdbD00004809,0.9736842105263158,0.9523809523809523,1.0,0.975609756097561,False,1.0,1.0,1.0,1.0,True
tdbD00004811,0.9444444444444444,0.9523809523809523,0.9523809523809523,0.9523809523809523,False,1.0,1.0,1.0,1.0,True
tdbD00004857,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00004872,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00004891,0.8611111111111112,0.7619047619047619,1.0,0.8648648648648648,False,1.0,1.0,1.0,1.0,True
tdbD00004903,0.5555555555555556,0.29411764705882354,0.38461538461538464,0.33333333333333337,False,0.7777777777777778,0.47058823529411764,0.6666666666666666,0.5517241379310345,False
tdbD00004944,1.0,1.0,1.0,1.0,True,0.9736842105263158,0.9523809523809523,1.0,0.975609756097561,False
tdbD00004954,0.7631578947368421,0.5238095238095238,0.4583333333333333,0.4888888888888889,False,1.0,1.0,1.0,1.0,True
tdbD00004958,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
